context_text,reply_text,language,source,gap_lines,gap_seconds
"manic delusion gay, gay noises?
I think that's great too boy I can't open it with wimper and nails, right?
so, we go to another screen I want to take this one no how many lines do you have?",I have five but let's see how long I'm there today I think this one is really good too I think this one is really really good too and this one saw things so I think this one is good but with knife I think this one is good let's start with this one,en,artstream,1,
 can you draw my Instagram name for you?,what?,en,artstream,1,
"Finally stream, yippie.",Yes.,en,artstream,1,
I heard it loudly and didn't buy a seat.,Shit.,en,artstream,1,
And now there are no more seats.,Oh no.,en,artstream,1,
And now the train has a high load and you can't book.,Shit.,en,artstream,1,
I'll beat someone up in the train if I have to stand there for 6 hours.,Yes.,en,artstream,1,
"Yes, financial advice.","Yes, yes, yes.",en,artstream,1,
How are you?,Blood pressure is lala.,en,artstream,1,
When channel points for iron pill.,You can actually have an iron overdose.,en,artstream,1,
One million channel points for one pill.,"Yes, okay.",en,artstream,1,
How are you?,I have a little headache.,en,artstream,1,
A video where I walk through Tokyo for hours.,Sure.,en,artstream,1,
What color is it?,He has white eyeshadow.,en,artstream,1,
"Smash Abend?
Dino Master on Tuesday.","Oh, right.",de,artstream,1,
I forgot to make sure.,What?,en,artstream,1,
"I'm lurky, but listen up.",Let's go.,en,artstream,1,
I think drunk Sisi will not have her come back.,Fuck!,en,artstream,1,
There are three desperadoes of years old parties lying around here.,"Yes, then drink it.",en,artstream,1,
I don't know if they still taste good or how the desperado tastes.,"Yes, try it.",en,artstream,1,
I would have bought a super cute dress.,"Well, it's still 22 degrees and it probably won't always rain.",en,artstream,1,
"I'm done already.
Today was a really crazy surprise.
Tomorrow the trains will be full of shit, but I'm not going to let my holiday go to shit.","Yes, you got this.",en,artstream,1,
Mission!,I'm trying!,en,artstream,1,
"I've never pulled my nose hair, to be honest.",Right?,en,artstream,1,
"Explosion, Spirbels.",I'm putting too much paint on here all the time.,en,artstream,1,
Pink or flames.,"I think we have too little background for flames, so that you can actually do it well.",en,artstream,1,
The people want to flame.,"Okay, I can try.",en,artstream,1,
A fake Lena.,"Yes, I was also talking in dialect.",en,artstream,1,
Did they talk in dialect or what?,I don't want to call and speak in high German with my mother.,en,artstream,1,
This is an instant stress situation.,"Yes, she got ultra in there.",en,artstream,1,
Looks really good.,"Thank you, thank you.",en,artstream,1,
Did I choose a good color palette?,I changed a few things.,en,artstream,1,
You can expect it to be dry when you put very little diluted blue on it.,I've already gone over it with blue once.,en,artstream,1,
Where's the dog cam?,I don't even know where...,en,artstream,1,
Wurde gebullied von meiner Lost-Teil.,"Ja, I feel you.",de,artstream,1,
Voll toll.,Nice feeling?,de,artstream,1,
"Ich bin eine halbe Stunde durch die Map gelaufen, um zu gucken, wo man den Barschlüssel reinpackt.",Oh nein.,de,artstream,1,
Was ist das für ein Lied?,"Alter, ich hab's ja gar nicht zu Mut.",de,artstream,1,
"Hab mir den Headset geholt für 250, aber war Arsch.",Ich hab so viele Headset schon ausprobiert.,de,artstream,1,
Mal Ende Anfang des Monats.,Ich krieg mein Gehalt immer Ende des Monats auch.,de,artstream,1,
"Wenn jetzt Twitch Technik explodiert, dann sind Steuern gar nichts mehr.","Nee, dann zahl ich ja noch mehr.",de,artstream,1,
Will ein Drückenbild?,"Okay, kann ich auch machen.",de,artstream,1,
Level 5?,"Ah, wir sind bei Level 5!",de,artstream,1,
"Go, Frid!","I don't think Frida is the biggest fan of Bimsbo being here, but she somehow accepts it.",en,artstream,1,
He throws Sisi into the pool.,Nobody.,en,artstream,1,
"Come on, Max, Tom, a my bibble is getting worse.","Ah, we'll see.",en,artstream,1,
"I'm really looking forward to the babies, yeah.",They are so cute.,en,artstream,1,
"Then we have Sisa and I, good bye.",Which movie?,en,artstream,1,
Next year.,Okay.,en,artstream,1,
"I'm already digging the hole.
These Wicks Sparco Huso gardeners still haven't reported properly.",What do you need the gardeners for?,en,artstream,1,
"I'll just call the company.
I'll call them really bad next week.",Grrr.,en,artstream,1,
"No, but the other one broke my back and I've had a headache for a week.",Oh no.,en,artstream,1,
For breakfast I had three toasts.,"Okay, yes.",en,artstream,1,
5 out of 7.,Today he was up really early.,en,artstream,1,
"I'm not crying.
I'm waking up again.",That's crazy.,en,artstream,1,
"Paradoxically, my body doesn't want to sleep through.",Yeah.,en,artstream,1,
I'm Kai.,"Eyes closed, eyes open.",en,artstream,1,
First we don't get the mattress and then this.,Yes.,en,artstream,1,
"Oh god, yes.",That's Bibels.,en,artstream,1,
I would have sucked in too godlessly.,"Yes, I don't know what's wrong with me.",en,artstream,1,
A Looney original.,It's art.,en,artstream,1,
Nussknacker was my first.,"I don't know what my first Barbie movie was, honestly.",en,artstream,1,
Now do it right away.,"Oh, shit.",en,artstream,1,
Did you just stop?,What?,en,artstream,1,
To stroke.,I'm sorry.,en,artstream,1,
That's Sisi.,Okay.,en,artstream,1,
"It's time, okay.",Close the broadcast.,en,artstream,1,
Call it.,I also expected that.,en,artstream,1,
I won!,"Yes, you won!",en,artstream,1,
Do you want a Winner pudding?,Eww.,en,artstream,1,
"Max poked it so well on me.
Maxi.","Yes, that wasn't a problem at all.",en,artstream,1,
We have this with these discounted shares.,I'll do that now.,en,artstream,1,
My first one!,This is the...,en,artstream,1,
I'm not invited.,I understand.,en,artstream,1,
I only come to Gamescom for the ARD-stand.,Huh?,en,artstream,1,
From the line-up.,"Yes, okay.",en,artstream,1,
"There will be a Witcher 4-stand, right?",I don't even have to inform myself.,en,artstream,1,
Yesterday...,You quickly painted it yesterday.,en,artstream,1,
I am waiting for the first Looneybot date.,The Lunibot will not be allowed to romanitcally engage sorry.,en,artstream,1,
Did she say something good today?,I...,en,artstream,1,
Loony's mom saying something nice challenge.,"Yeah, we'll invite her to a livestream and then we'll wait until she says something nice.",en,artstream,1,
More hitting.,What do you mean?,en,artstream,1,
"Something like that is an accident, yes.","Yes, sure.",en,artstream,1,
Create our own game.,Santos streams.,en,artstream,1,
Elden Ring.,What?,en,artstream,1,
It's very good.,I also got my upper part.,en,artstream,1,
fit check? ,not worth it,en,GOWstream.mp4,1,5
ich find den fit sehr nice,"findest du? mit der jogginghose, die ultra ranz ist? ",de,GOWstream.mp4,1,5
es sind gerade 666 zuschauer da,ja. bestimmt,de,GOWstream.mp4,1,5
und wer ist jetzt unworthy? ,die Valkyre die wir jetzt dann gleich töten werden... hoffentlich,de,GOWstream.mp4,1,5
"ja tom, wie läuft das echte leben?","ach du meinst rocket league, nicht real life mit rl",de,GOWstream.mp4,1,5
rocket league macht mich wahnsinnig,ja mich auch,de,GOWstream.mp4,1,5
ja bin dia,"ok, das kommt ja eh nach platin oder nich?",de,GOWstream.mp4,1,5
Der ist safe acht.,Ich weiß nicht.,de,GOWstream.mp4,1,3
"Hit him!
hau halt drauf",I'm trying!,de,GOWstream.mp4,1,28
13 bis 18 Uhr hätte ich Zeit.,Morgen!,de,GOWstream.mp4,1,2
Ich habe Nachtschicht.,"Was arbeitest du eigentlich, Niklas?",de,GOWstream.mp4,1,2
"Ah, ok. Also Pharma.",Pharma Verpackungen.,de,GOWstream.mp4,1,2
Ich habe mir nur den Tipp vom Ladebildschirm abgeschrieben.,"Smart, Fabi.",de,GOWstream.mp4,1,4
aha man ja falsche spielkategorie ich habe schon gesagt aber ... ,"okay mods sind nicht da , i will do it",de,GOWstream.mp4,1,10
"sehr viel passiert, ich habe angefangen eine wohnung in berlin zu suchen nachdem ich das ewig aufgeschoben habe",und wie läuft die wohnungssuche ich finde wohnungssuche immer richtig schlimm actually,de,GOWstream.mp4,1,6
silvester war auch wild weihnachten war spannend situation ship ,was ist an weihnachten spannend,de,GOWstream.mp4,1,3
wohnungssuche läuft  gar nicht gut meine nachrichten wurden nicht mal geöffnet,ja ja ich fühle das so ging es mir bei einer meiner letzten wohnungen mit meinem mit meinem ex partner,de,GOWstream.mp4,1,3
war nicht bei meiner familie sondern in potzdam auf ganz spontan unterwegs mit einer person die ich noch nicht sonderlich kannte,ja ... i mean,de,GOWstream.mp4,1,6
ein Vieh wurde noch nicht valkyriert.,Wir sind immer noch bei der ersten.,de,GOWstream.mp4,1,4
"Hallo, wie läuft die Session?",Wir sind seit 30 Minuten bei der Valkyrie,de,GOWstream.mp4,1,3
Warum ist Leben eigentlich so teuer? Wir waren heute einkaufen für Wohnungen und ich fühle mich immer mehr unter die Armutsgrenze rutschen. ,"Ja, seit ich wieder Miete zahlen muss und eine richtig arschfix Kosten habe und mein scheiß Internetallende schon 45 Euro im Monat kostet.",de,GOWstream.mp4,1,7
"Meinst du, ich wurde übern Tisch gezogen?","Nee, Flo, du wurdest unter den Tisch gezogen. Ihr plottet da jetzt. Ich weiß es doch.",de,GOWstream.mp4,1,5
"Heute liegt die Queen, wir haben erst 4 von 8 Valkyrien.",That's a problem.,de,GOWstream.mp4,1,4
"Ach Problem, Schwuppleben.",Wir schaffen es.,de,GOWstream.mp4,1,4
Einfach Tod streicheln.,Ich brauche keine Poison Resistance.,de,GOWstream.mp4,1,8
"Get up, brother! ",ja wie denn?,de,GOWstream.mp4,1,
Den Rest heute noch.,We shall see,de,GOWstream.mp4,1,4
I'm always here to support the besties.,Yes. And the horniness. You actually are only here for horniness. Why are you always lying?,en,GOWstream.mp4,1,2
A bottle of water,"Water, water",en,GOWstream.mp4,1,14
Who the fuck does Boy think he is?,Boy thinks he's not annoying,en,GOWstream.mp4,1,6
Giga chair,Soll Giga chair weiterspielen,de,GOWstream.mp4,1,2
Nicely done,Actually not,en,GOWstream.mp4,1,2
"Nächstes Mal kommt noch ein Toms Toggle Shirt dran, echt so.",Das war schon sehr nice. Sehr gute Idee. Obwohl es immer nur ich benutze.,de,GOWstream.mp4,1,5
Und in meiner DM sliderst du nicht?,Du warst gar nicht da busch,de,GOWstream.mp4,1,
Wie läuft's? ,"Wir haben schon zwei Walküren heute geschafft. Das sind doppelt so viele, wie ich schaffen wollte.",de,GOWstream.mp4,1,3
"Ja, nice First Try. ","I'm sorry, das wäre insane gewesen.",de,GOWstream.mp4,1,6
Sie lernen dazu.,Die haben die Mächtigkeit.,de,GOWstream.mp4,1,2
Scheiß Beyblade.,Scheiß Beyblade.,de,GOWstream.mp4,1,2
On a roll. ,"Ja, heute bin ich echt on a roll.",de,GOWstream.mp4,1,3600
Streamer suffering ist auch Content. ,"Ja, aber Streamer finally doing some shit ist auch Content.",de,GOWstream.mp4,1,7
Discord-Server lässt mich nicht rein. Gibt wohl gerade Server Meltdown,"What the f**k? Generell kommst du nur auf uns an, oder kommst du generell auf keinen Discord-Server?",de,GOWstream.mp4,1,4
Bin wieder da,Welcome back!,de,GOWstream.mp4,1,4
Prodigy is banger!,"Ja, The Prology ist generell einfach Banger.",de,GOWstream.mp4,1,2
"Das klingt mega schrecklich, ohne Sound zu spielen.","Wie hardcore ich auf diesen Controller einschläge, Alter.",de,GOWstream.mp4,1,4
Jemand hat endlich auf meine Wohnungsanfrage geantwortet-,"Aber schön, dass dir jemand geantwortet hat. Was wichtig sit, immer fragen ob die Wände irgendwie sehr dünn sind. Also ab das irgendwie geäruschempfindlich ist. Und ob die Fenster neu sind, dann kannst du dir ungefähr denken wie viel zu heizen musst. Und hoffen dass ein Kellerabteil dabei ist oder Abstellmöglichkeiten. Und immer sagen dass du lange da wohnen möchtest, um dem Vermieter zu gefallen. ",de,GOWstream.mp4,1,2
Are we stepping on you?,"No, but the bosses are stepping on me because I'm fighting against the Valkyries from God of War and these bitches do be stepping on me all the fucking time. That world is fire, right?",en,GOWstream.mp4,1,2
That art wall is fire.,"Right? And you don't even know the best thing because you cannot see it, but I can. It is over my PC, over my screens. Yes, you died. The fucking died screen from Elden Ring. A motivator for, I don't know,",en,GOWstream.mp4,1,8
I call them baby. ,Why don't you call me baby?,en,GOWstream.mp4,1,
Das ist jetzt die vorletzte oder?,"Das ist die Vorletzte, richtig Und dann kommt die Queen. Also basically die Vorverletzte",de,GOWstream.mp4,1,16
Mir ist so langweilig abseits deines Streams.,Fang an God of War zu spielen.,de,GOWstream.mp4,1,3
"Nobunaga ist bisschen cool, weil er versucht Gon und Killua aufzunehmen. Feitan ist übertrieben krass, was die Abilities angeht. Ich glaub, favorite ist Shizuku.","Ja, Shizuku ist richtig nice. Ich finde, Shizuku wirkt extrem verpeilt, aber die hat's halt richtig hart drauf.",de,GOWstream.mp4,1,8
"Shizuku ist so verpeilt, ich kann deswegen ein bisschen mit ihr relaten, glaub ich.",Mein favorite ist actually Chrollo. Ich relate auch so ein bisschen mit ihm.,de,GOWstream.mp4,1,7
Ich hasse Machi und Shalnark.,Was? Ich liebe Shalnark. Ich finde Shalnark mega cute.,de,GOWstream.mp4,1,2
Perfect Pedro.,Ein Baby. Baby Pedro. Such a babe.,,4_9hours.mp4,1,3
Real life is real lifing,"Ach, diese dumme Relife-Quest-Zimmer.",,4_9hours.mp4,1,2
Schult ist German for goat?,"Exactly, exactly, Gilly.",,4_9hours.mp4,1,2
"Oh, god. What the fuck? Oh, my god, Niklas.",You're kidding.,,4_9hours.mp4,1,3
How many end bosses did you do?,Two.,,4_9hours.mp4,1,2
Hello there.,Hmm.,,4_9hours.mp4,1,2
"How are you lady?
It has really been a while.",At the roof?,,4_9hours.mp4,5,10
"How have you been?
Good.
Good I'd say.
Did a lot for my master thesis.
So.
A big milestone for me.
Honestly.",Magic.,,4_9hours.mp4,1,12
I don't have a wilder.,There's a hippo.,,4_9hours.mp4,1,12
"And how's Tom doing?
Yeah, Tom.
How are you doing?","Oh, that's why we just defeated a boss, yeah.",,4_9hours.mp4,2,2
"Niklas!
No, now I have to...
Okay.
Yeah, next round will be...
on the wheel.","Oh, the zone is there.",,4_9hours.mp4,1,2
"Thank you very much, Niklas, for three gifties.","Wait, I hear the glitter.",,4_9hours.mp4,2,6
"Thank you, thank you.
And hello, new person.",What's that?,,4_9hours.mp4,1,2
"Frankie got one.
And Lady also got one.",Specia...,,4_9hours.mp4,1,6
"I'm literally watching you stream.
Yeah.
Wait what was the answer to?",Get out of me swamp.,,4_9hours.mp4,3,27
"It does really come become what?
It does really become addictive.
Honestly.",Wait why am I two handing this?,,4_9hours.mp4,1,1
Thank you for the follow.,Hello?,,4_9hours.mp4,1,3
"Thank you.
Thank you.
It's not necessary.",Loomba.,,4_9hours.mp4,1,1
"I'm curious.
Wo hin statt bist du?
What do you mean?
Like where I live?
Or.",Ah fuck.,,4_9hours.mp4,1,1
"Ne.
Luigi, Goomba and Toad.
Das sind halt die Anfangsbuchstaben.
Das ist nicht so anstrengend.",I died because I didn't pay attention.,,4_9hours.mp4,2,5
"I was studying Deutsch in Munich a long time ago.
Your accent is more central region.",No I'm actually from Bavaria.,,4_9hours.mp4,1,2
It was crazy for me first time to hear Bavarian or what?,Bavarian?,,4_9hours.mp4,2,5
It's not easy.,Yeah.,,4_9hours.mp4,1,2
Bavarian is so amazing.,It's okay.,,4_9hours.mp4,1,6
Sandom,I'll invite you.,,4_9hours.mp4,1,1
"The hardest thing is to find what's correct.
Daddy does crazy.",But actually nobody gives a fuck about Daddy does in Germany.,,4_9hours.mp4,1,2
machen dann hoffe ich dass du die arbeit bald durch hast schätze ich mal ich muss,sie am 30 september abgeben ich habe jetzt schon sehr viel gemacht was so texte lesen und so angeht,,4_9hours.mp4,1,28
"ich bin so nicht so ist das ist schon wieder präsent
dass das die klingt aber gut so you will understand yeah i mean i would understand",the daddy does really doesn't change anything of the meaning usually or yeah if it's like for,,4_9hours.mp4,1,12
"Bin heute worked.
Deshalb lurky.",Ich mag ihn nicht.,,4_9hours.mp4,11,14
I'm doing it like once a week in a computer club.,I would get a PC.,,4_9hours.mp4,5,10
Warhammer series.,Yeah then you can just get like a 4060 or something.,,4_9hours.mp4,1,1
"Danke, Männer und Männer.",Lady Flo.,,4_9hours.mp4,1,5
Aber Dali.,"Okay, wait.",,4_9hours.mp4,1,2
"Nie wieder pausieren, bis das Stream endet.",Doch.,,4_9hours.mp4,1,1
Einfach ist's.,"Ja, same.",,4_9hours.mp4,1,2
"Neben welchem Nightlord
kämpfen sie?",Der aussieht wie Eldenbeast.,,4_9hours.mp4,1,2
And how will be?,What the fuck?,,4_9hours.mp4,1,2
Augur ist nervtürm.,"Ja, ich will ihn mal ausprobieren.",,4_9hours.mp4,1,2
"Oh nein, spielst du Spiele am Wochenende, nach der Arbeit?","Ja, aber ich streame es nicht immer.",,4_9hours.mp4,1,9
Was zur Hölle?,"Oida, wo ist zum Teufel?",,4_9hours.mp4,1,1
Das ist zum Ficken.,For real.,,4_9hours.mp4,1,2
Alt F4.,Annoying sounds.,,4_9hours.mp4,4,12
Guten Appetit.,Dankeschön.,,4_9hours.mp4,1,2
Ich bin auch noch am essen.,Sollen wir eine kurze Pause einlegen?,,4_9hours.mp4,1,2
Schön dunkel.,Und es ist zu dunkel.,,4_9hours.mp4,1,6
Was sind die average Salary in Deutschland?,Ich glaube es ist,,4_9hours.mp4,1,2
"Sag Google für Vollzeit. Okay, Crazy.","Dann ist der aber schon ziemlich gestiegen nochmal. Das war doch eine ganze Zeit lang bei 40k, oder?",,4_9hours.mp4,1,4
"Dann höre, was du gefragt hast. Ich frage, ob du denkst, sie kommen nach Deutschland.",Das ist ein guter Film.,,4_9hours.mp4,1,8
"Es wird in Paris gespielt.
Ah, okay.",Paris ist schön.,,4_9hours.mp4,1,9
Das ist Law?,Ja.,,4_9hours.mp4,1,2
Wirst du eine Woche in Warsaw bleiben und dann in Paris? Wie lange?,Wie lange?,,4_9hours.mp4,1,6
Sie sind wirklich alle Kacke.,Hm.,,4_9hours.mp4,1,7
Seine Stimme ist super ruhig.,Und hier ist es nur Ambient-Geräusch für 20 Minuten mehr.,,4_9hours.mp4,1,2
Hast du jemals ein Review von Bloodborne geschaut?,Nein.,,4_9hours.mp4,1,4
Give me a second to get headset. Let's go. Okay.,"Okay, okay.",,4_9hours.mp4,1,5
"Seid ihr im Discord oder wo? Ja, wir sind im Community Discord.",In Lunes Gate.,,4_9hours.mp4,1,5
Ich habe das Game zugemacht. Weird.,Vielleicht warst du deswegen dann einfach noch länger drin.,,4_9hours.mp4,1,2
Mir geht's gut. Das ist schön.,Mir geht's auch gut. Ich habe gut geschlafen.,,4_9hours.mp4,1,2
My teammates are so funny.,We are chaotic as fuck.,,4_9hours.mp4,1,2
I wanna burst a boss in my run.,"Ja, for real. That was so chill.",,4_9hours.mp4,1,2
Crying check.,Gilly.,,4_9hours.mp4,2,6
"Yeah!
Yeah!
Hey Nicholas, how are you doing?
Nice to see you here.","Ow, wrong step.",,4_9hours.mp4,3,4
"You don't have to get me back. It's Elden Ring Nightreign. Yes, yes, yes, yes. Sorry.",I was very concentrated and still died.,,4_9hours.mp4,1,6
Be back. Welcome back. I'm Lune.,Yeah. I'm reclosing right now. I fucking hate her.,,4_9hours.mp4,1,5
"That's midnight 2, yes.",Meh.,,4_9hours.mp4,1,4
This does not seem to be the strat.,You might be correct here.,,4_9hours.mp4,1,4
Have you tried running faster?,Yeah.,,4_9hours.mp4,8,14
Fog bad.,Walk bad.,,4_9hours.mp4,1,1
"I told you I'm streaming for a long time.
Besides, I have to do all the runs
that were picked by the
wheel. And now it's just...",Where is he?,,4_9hours.mp4,1,8
no niklas,do i have to play the same dude twice in a row,,4_9hours.mp4,4,26
Niklas.,Every fucking time.,,4_9hours.mp4,1,6
halloumi has simon,i need the last church though,,4_9hours.mp4,2,22
Boosh.,"I told you, it's not possible anymore.",,4_9hours.mp4,1,1
"Hello, Greenwick Walker!",What's up?,,4_9hours.mp4,1,1
"Is Simon krank?
Is hier eine Versammlung von Leuten, die ich kenne?","Hä, was ist denn jetzt los?",,4_9hours.mp4,1,3
