"Zeitstempel","Wie alt bist du? / How old are you?","  Welches Geschlecht haben Sie? / What is your gender?  ","  Welchen h√∂chsten Bildungsabschluss haben Sie? / What is your highest level of education?  ","  Waren Sie vor dieser Umfrage √ºber KI-Avatare informiert, die Personen nachahmen? / Before this survey, were you aware of AI avatars replicating individuals?  ","  Waren Sie vor dieser Umfrage √ºber KI-Avatare informiert, die Personen verstorbene nachahmen? / Before this survey, were you aware of AI avatars replicating deceased individuals?  ","  Haben Sie bereits mit KI-Systemen oder Chatbots interagiert? / Have you ever interacted with AI/chatbots?  ","  Sollten Menschen KI-Avatare von sich selbst zu Lebzeiten erstellen d√ºrfen?
"2025/09/04 10:31:15 PM OESZ","18-24","Weiblich / Female","Bachelor","Ja/Yes","Ja/Yes","Ja/Yes","Unsicher / Unsure","Eher nein / Rather no","Stimme / Voice;Gesicht / Appearance;Schreibstil / Writing style;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs","1","2","Trost / Comfort;Unbehagen / Discomfort","5","5","Avatar darf genutzt werden, wenn vorher Zustimmung der Person vorlag / Can be used if prior consent exists","Unsicher / Unsure","Negativ / Negative","Zustimmung der Person / Consent of the individual;Zustimmung der Familie / Consent of family;Datenschutz / Data protection;Zeitliche Begrenzung / Time limitation;Keine kommerzielle Nutzung / No commercial use","Verstärkte Nutzung / Increased use","Nein / No","Nein / No",""
"2025/09/04 10:36:54 PM OESZ","25-34","Männlich / Male","Bachelor","Ja/Yes","Nein/No","Ja/Yes","Ja /Yes","Unsicher / Unsure","Schreibstil / Writing style;Persönlichkeit / Personality;Werte & Überzeugungen / Values & beliefs","3","1","Skepsis","5","5","Avatar darf nicht erstellt werden / Should not be created","Schmälert / Detracts","Negativ / Negative","Zustimmung der Person / Consent of the individual;Zustimmung der Familie / Consent of family;Datenschutz / Data protection;Keine kommerzielle Nutzung / No commercial use","Verstärkte Nutzung / Increased use","Vielleicht / Maybe","Nein / No",""
"2025/09/04 10:41:47 PM OESZ","25-34","Männlich / Male","Mittlere Reife / High school","Ja/Yes","Ja/Yes","Ja/Yes","Ja /Yes","Eher ja / Rather yes","Persönlichkeit / Personality;Erinnerungen / Memories","3","4","Trost / Comfort;Nostalgie / Nostalgia;Freude / Joy","5","4","Avatar darf nicht genutzt werden / Should not be used","Trägt bei / Contributes","Positiv / Positive","Datenschutz / Data protection;Keine kommerzielle Nutzung / No commercial use","Unsicher / Unsure","Vielleicht / Maybe","Ja / Yes",""
"2025/09/04 10:50:52 PM OESZ","18-24","Männlich / Male","Abitur / College entrance qualification","Ja/Yes","Ja/Yes","Ja/Yes","Ja /Yes","Eher nein / Rather no","Gesicht / Appearance;Schreibstil / Writing style;Persönlichkeit / Personality;Werte & Überzeugungen / Values & beliefs","2","1","Nostalgie / Nostalgia;Unbehagen / Discomfort;Traurigkeit / Sadness","4","2","Avatar darf genutzt werden, wenn vorher Zustimmung der Person vorlag / Can be used if prior consent exists","Schmälert / Detracts","Unsicher / Unsure","Zustimmung der Person / Consent of the individual;Datenschutz / Data protection;Zeitliche Begrenzung / Time limitation;Keine kommerzielle Nutzung / No commercial use","Es wird ein vorübergehender Trend / It will be a temporary trend","Nein / No","Nein / No",""
"2025/09/04 11:04:42 PM OESZ","25-34","Divers / Non-binary / Other","Abitur / College entrance qualification","Ja/Yes","Nein/No","Ja/Yes","Ja /Yes","Eher nein / Rather no","Persönlichkeit / Personality;Erinnerungen / Memories","3","1","Freude / Joy","5","5","Avatar darf nicht erstellt werden / Should not be created","Unsicher / Unsure","Unsicher / Unsure","Zustimmung der Person / Consent of the individual;Zustimmung der Familie / Consent of family;Datenschutz / Data protection;Keine kommerzielle Nutzung / No commercial use","Verstärkte Nutzung / Increased use","Vielleicht / Maybe","Nein / No",""
"2025/09/05 7:49:03 AM OESZ","25-34","Weiblich / Female","Abitur / College entrance qualification","Ja/Yes","Nein/No","Nein/No","Unsicher / Unsure","Eher nein / Rather no","Stimme / Voice;Gesicht / Appearance;Schreibstil / Writing style;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs","2","1","Verwirrung / Confusion;Unbehagen / Discomfort;Traurigkeit / Sadness","5","5","Avatar darf nicht erstellt werden / Should not be created","Unsicher / Unsure","Unsicher / Unsure","Zustimmung der Person / Consent of the individual;Zustimmung der Familie / Consent of family;Datenschutz / Data protection","Verstärkte Nutzung / Increased use","Vielleicht / Maybe","Nein / No","Somehow freaks me out just not 100% knowing what AI will be able to do etc"
"2025/09/05 8:59:05 AM OESZ","18-24","Männlich / Male","Mittlere Reife / High school","Ja/Yes","Ja/Yes","Ja/Yes","Ja /Yes","Nein, auf keinen Fall / No, definitely not","Stimme / Voice;Gesicht / Appearance;Schreibstil / Writing style;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs","1","1","Unbehagen / Discomfort","5","5","Avatar darf genutzt werden, wenn vorher Zustimmung der Person vorlag / Can be used if prior consent exists","Unsicher / Unsure","Negativ / Negative","Zustimmung der Person / Consent of the individual;Datenschutz / Data protection;Zeitliche Begrenzung / Time limitation;Keine kommerzielle Nutzung / No commercial use","Verstärkte Nutzung / Increased use","Nein / No","Nein / No",""
"2025/09/05 9:21:42 AM OESZ","25-34","Weiblich / Female","Master","Ja/Yes","Ja/Yes","Ja/Yes","Unsicher / Unsure","Eher nein / Rather no","Stimme / Voice;Gesicht / Appearance;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs","3","2","Trost / Comfort;Nostalgie / Nostalgia;Verwirrung / Confusion;Unbehagen / Discomfort","5","5","Avatar darf genutzt werden, wenn vorher Zustimmung der Person vorlag / Can be used if prior consent exists","Unsicher / Unsure","Unsicher / Unsure","Zustimmung der Person / Consent of the individual;Zustimmung der Familie / Consent of family;Datenschutz / Data protection;Keine kommerzielle Nutzung / No commercial use","Verstärkte Nutzung / Increased use","Vielleicht / Maybe","Vielleicht / Maybe",""
"2025/09/05 10:03:50 AM OESZ","25-34","Männlich / Male","Mittlere Reife / High school","Ja/Yes","Ja/Yes","Ja/Yes","Ja /Yes","Eher nein / Rather no","Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs;Soul","2","1","Verwirrung / Confusion;Unbehagen / Discomfort","5","5","Avatar darf nicht erstellt werden / Should not be created","Unsicher / Unsure","Negativ / Negative","Zustimmung der Person / Consent of the individual;Zustimmung der Familie / Consent of family;Datenschutz / Data protection;Keine kommerzielle Nutzung / No commercial use","Es wird ein vorübergehender Trend / It will be a temporary trend","Ja / Yes","Nein / No",""
"2025/09/05 10:35:37 AM OESZ","25-34","Divers / Non-binary / Other","Bachelor","Ja/Yes","Ja/Yes","Ja/Yes","Unsicher / Unsure","Nein, auf keinen Fall / No, definitely not","Stimme / Voice;Gesicht / Appearance;Schreibstil / Writing style;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs;Körperlichkeit","2","1","Verwirrung / Confusion;Unbehagen / Discomfort;Traurigkeit / Sadness","5","5","Avatar darf genutzt werden, wenn vorher Zustimmung der Person vorlag / Can be used if prior consent exists","Trägt bei / Contributes","Negativ / Negative","Zustimmung der Person / Consent of the individual;Datenschutz / Data protection;Zeitliche Begrenzung / Time limitation;Keine kommerzielle Nutzung / No commercial use","Es wird ein vorübergehender Trend / It will be a temporary trend","Nein / No","Nein / No","KI kann niemals eine vollständige Persönlichkeit eines Menschen nachahmen, da es keine Körperlichkeit besitzt. Auch bei zeitlicher Begrenzung eines solchen Avatars ist fragwürdig, ob die Daten auf Seiten der KI-Unternehmen wirklich gelöscht werden."
"2025/09/05 11:17:25 AM OESZ","25-34","Weiblich / Female","Abitur / College entrance qualification","Ja/Yes","Ja/Yes","Ja/Yes","Unsicher / Unsure","Eher nein / Rather no","Stimme / Voice;Gesicht / Appearance;Schreibstil / Writing style;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs","2","2","Unbehagen / Discomfort","5","5","Avatar darf genutzt werden, wenn vorher Zustimmung der Person vorlag / Can be used if prior consent exists","Unsicher / Unsure","Negativ / Negative","Zustimmung der Person / Consent of the individual;Datenschutz / Data protection;Keine kommerzielle Nutzung / No commercial use","Es wird verboten werden / It will be banned","Nein / No","Nein / No",""
"2025/09/05 12:14:25 PM OESZ","25-34","Weiblich / Female","Mittlere Reife / High school","Ja/Yes","Ja/Yes","Ja/Yes","Unsicher / Unsure","Eher nein / Rather no","Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs","3","2","Nostalgie / Nostalgia","5","4","Avatar darf nicht erstellt werden / Should not be created","Trägt bei / Contributes","Negativ / Negative","Zustimmung der Person / Consent of the individual;Zeitliche Begrenzung / Time limitation;Keine kommerzielle Nutzung / No commercial use","Verstärkte Nutzung / Increased use","Nein / No","Nein / No",""
"2025/09/05 3:19:03 PM OESZ","25-34","Weiblich / Female","Abitur / College entrance qualification","Ja/Yes","Ja/Yes","Ja/Yes","Ja /Yes","Eher nein / Rather no","Stimme / Voice;Gesicht / Appearance;Werte & Überzeugungen / Values & beliefs","3","2","Nostalgie / Nostalgia;Unbehagen / Discomfort","5","5","Avatar darf genutzt werden, wenn vorher Zustimmung der Person vorlag / Can be used if prior consent exists","Unsicher / Unsure","Unsicher / Unsure","Zustimmung der Person / Consent of the individual;Zustimmung der Familie / Consent of family;Datenschutz / Data protection;Zeitliche Begrenzung / Time limitation;Keine kommerzielle Nutzung / No commercial use","Verstärkte Nutzung / Increased use","Vielleicht / Maybe","Vielleicht / Maybe",""
"2025/09/05 5:33:12 PM OESZ","18-24","Männlich / Male","Mittlere Reife / High school","Ja/Yes","Nein/No","Ja/Yes","Ja /Yes","Unsicher / Unsure","Stimme / Voice;Gesicht / Appearance;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs","3","4","Trost / Comfort;Nostalgie / Nostalgia;Unbehagen / Discomfort;Traurigkeit / Sadness","5","5","Avatar darf nicht genutzt werden / Should not be used","Trägt bei / Contributes","Unsicher / Unsure","Zustimmung der Person / Consent of the individual;Zustimmung der Familie / Consent of family;Datenschutz / Data protection;Keine kommerzielle Nutzung / No commercial use","Verstärkte Nutzung / Increased use","Ja / Yes","Ja / Yes",""
"2025/09/05 10:01:18 PM OESZ","25-34","Männlich / Male","Abitur / College entrance qualification","Ja/Yes","Nein/No","Ja/Yes","Unsicher / Unsure","Eher nein / Rather no","Stimme / Voice;Gesicht / Appearance;Schreibstil / Writing style;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs","1","1","Nostalgie / Nostalgia;Verwirrung / Confusion;Unbehagen / Discomfort","5","5","Avatar darf nicht erstellt werden / Should not be created","Schmälert / Detracts","Negativ / Negative","Zustimmung der Person / Consent of the individual;Datenschutz / Data protection;Keine kommerzielle Nutzung / No commercial use","Verstärkte Nutzung / Increased use","Nein / No","Nein / No","I believe that AI is going to be used more in the future for Avatars and Legacy Avatars. I don’t feel that it is morally or ethically right, and it also doesn’t feel natural to side-step grief with a synthetic representation or a deceased love one. I know others may feel different and that’s okay. It may help someone else’s grieving process, but for me, I think it upsets a natural order. "
"2025/09/05 10:56:10 PM OESZ","25-34","Divers / Non-binary / Other","Abitur / College entrance qualification","Ja/Yes","Nein/No","Nein/No","Unsicher / Unsure","Nein, auf keinen Fall / No, definitely not","Stimme / Voice;Gesicht / Appearance;Schreibstil / Writing style;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs","1","1","Verwirrung / Confusion;Unbehagen / Discomfort","5","5","Avatar darf genutzt werden, wenn vorher Zustimmung der Person vorlag / Can be used if prior consent exists","Unsicher / Unsure","Negativ / Negative","Zustimmung der Person / Consent of the individual;Datenschutz / Data protection;Keine kommerzielle Nutzung / No commercial use","Unsicher / Unsure","Nein / No","Nein / No",""
"2025/09/06 4:03:36 PM OESZ","18-24","Weiblich / Female","Abitur / College entrance qualification","Ja/Yes","Ja/Yes","Ja/Yes","Unsicher / Unsure","Nein, auf keinen Fall / No, definitely not","Schreibstil / Writing style;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs","2","1","Unbehagen / Discomfort;Ich empfinde auch Sorge, da ich denke das solche Avatare das Risiko parasozialer Bindungen steigern lassen. Nutzer könnten derartigen Avataren Eigenschaften wie Empathie oder Verbindlichkeit zuschreiben. Teilweise stelle ich mir auch vor das Grenzen nicht klar zu ziehen sind und Bindung aufgebaut werden, die im realen Leben zur nachgeahmten Person so nie entstehen würde.","5","5","Avatar darf genutzt werden, wenn vorher Zustimmung der Person vorlag / Can be used if prior consent exists","Unsicher / Unsure","Unsicher / Unsure","Zustimmung der Person / Consent of the individual;Zustimmung der Familie / Consent of family;Datenschutz / Data protection;Zeitliche Begrenzung / Time limitation;Keine kommerzielle Nutzung / No commercial use","Verstärkte Nutzung / Increased use","Nein / No","Nein / No","Ich sehe Potenzial, dass vielleicht KI positive Effekte im Trauerprozess haben kann, auch wenn ich mir für mich selbst unsicher bin. Gleichzeitig befürchte ich das bei Menschen in tiefer Trauer grenzverwischte, einseitige Bindungen entstehen können, wenn man diese in einem nicht kontrollierten Umfeld nutzt. Deshalb sollten solche Avatare, im psychologischen Kontext nur als Werkzeug dienen und mit fachlicher Begleitung, genutzt werden."
"2025/09/07 12:58:28 AM OESZ","35-49","Männlich / Male","Bachelor","Ja/Yes","Ja/Yes","Ja/Yes","Ja /Yes","Eher nein / Rather no","Stimme / Voice;Gesicht / Appearance;Schreibstil / Writing style;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs;Ego and insecurities ","3","3","Nostalgie / Nostalgia;Traurigkeit / Sadness;","5","5","Avatar darf nicht erstellt werden / Should not be created","Unsicher / Unsure","Neutral","Zustimmung der Person / Consent of the individual;Zustimmung der Familie / Consent of family;Datenschutz / Data protection;Keine kommerzielle Nutzung / No commercial use","","Nein / No","Nein / No",""
"2025/09/08 2:06:08 AM OESZ","25-34","Männlich / Male","Abitur / College entrance qualification","Ja/Yes","Nein/No","Ja/Yes","Unsicher / Unsure","Eher ja / Rather yes","Stimme / Voice;Gesicht / Appearance;Schreibstil / Writing style;Persönlichkeit / Personality;Erinnerungen / Memories","1","1","Unbehagen / Discomfort;Traurigkeit / Sadness","5","5","Avatar darf nicht genutzt werden / Should not be used","Schmälert / Detracts","Negativ / Negative","Zustimmung der Person / Consent of the individual;Zustimmung der Familie / Consent of family;Datenschutz / Data protection;Zeitliche Begrenzung / Time limitation;Keine kommerzielle Nutzung / No commercial use","Es wird ein vorübergehender Trend / It will be a temporary trend","Nein / No","Nein / No",""
"2025/09/08 8:56:15 AM OESZ","25-34","Männlich / Male","Abitur / College entrance qualification","Nein/No","Nein/No","Ja/Yes","Unsicher / Unsure","Eher ja / Rather yes","Stimme / Voice;Gesicht / Appearance;Persönlichkeit / Personality;Werte & Überzeugungen / Values & beliefs","2","1","Trost / Comfort;Nostalgie / Nostalgia;Unbehagen / Discomfort","5","5","Avatar darf genutzt werden, wenn vorher Zustimmung der Person vorlag / Can be used if prior consent exists","Unsicher / Unsure","Negativ / Negative","Zustimmung der Person / Consent of the individual;Zustimmung der Familie / Consent of family;Datenschutz / Data protection;Zeitliche Begrenzung / Time limitation;Keine kommerzielle Nutzung / No commercial use","Unsicher / Unsure","Nein / No","Nein / No",""
"2025/09/08 9:12:05 AM OESZ","35-49","Weiblich / Female","Master","Ja/Yes","Ja/Yes","Ja/Yes","Ja /Yes","Nein, auf keinen Fall / No, definitely not","Stimme / Voice;Gesicht / Appearance;Schreibstil / Writing style;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs","3","1","Unbehagen / Discomfort","5","5","Avatar darf nicht erstellt werden / Should not be created","Unsicher / Unsure","Negativ / Negative","Zustimmung der Person / Consent of the individual;Zustimmung der Familie / Consent of family;Datenschutz / Data protection;Zeitliche Begrenzung / Time limitation;Keine kommerzielle Nutzung / No commercial use","Begrenzte Nutzung / Limited use","Vielleicht / Maybe","Nein / No",""
"2025/09/08 12:18:27 PM OESZ","18-24","Weiblich / Female","Mittlere Reife / High school","Ja/Yes","Ja/Yes","Ja/Yes","Nein / No","Unsicher / Unsure","Stimme / Voice;Gesicht / Appearance;Persönlichkeit / Personality;Erinnerungen / Memories","1","1","Verwirrung / Confusion;Unbehagen / Discomfort;Traurigkeit / Sadness","5","5","Avatar darf nicht erstellt werden / Should not be created","Schmälert / Detracts","Unsicher / Unsure","Zustimmung der Person / Consent of the individual;Zustimmung der Familie / Consent of family;Datenschutz / Data protection;Zeitliche Begrenzung / Time limitation;Keine kommerzielle Nutzung / No commercial use","Begrenzte Nutzung / Limited use","Nein / No","Nein / No",""
"2025/09/08 2:59:41 PM OESZ","25-34","Männlich / Male","Abitur / College entrance qualification","Ja/Yes","Ja/Yes","Ja/Yes","Nein / No","Nein, auf keinen Fall / No, definitely not","Stimme / Voice;Gesicht / Appearance;Schreibstil / Writing style;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs","1","1","Unbehagen / Discomfort","5","5","Avatar darf nicht erstellt werden / Should not be created","Unsicher / Unsure","Negativ / Negative","Zustimmung der Person / Consent of the individual;Zustimmung der Familie / Consent of family;Datenschutz / Data protection;Keine kommerzielle Nutzung / No commercial use","Begrenzte Nutzung / Limited use","Nein / No","Nein / No",""
"2025/09/08 3:39:58 PM OESZ","18-24","Divers / Non-binary / Other","Abitur / College entrance qualification","Ja/Yes","Ja/Yes","Ja/Yes","Unsicher / Unsure","Eher nein / Rather no","Stimme / Voice;Gesicht / Appearance;Schreibstil / Writing style;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs","1","1","Verwirrung / Confusion;Unbehagen / Discomfort;Als würde ich keinen Respekt vor der Person haben/zeigen","5","4","Avatar darf genutzt werden, wenn vorher Zustimmung der Person vorlag / Can be used if prior consent exists","Schmälert / Detracts","Negativ / Negative","Zustimmung der Person / Consent of the individual;Datenschutz / Data protection;Keine kommerzielle Nutzung / No commercial use","Verstärkte Nutzung / Increased use","Nein / No","Nein / No","Ich finde den Gedanken gruselig. Eine Person verstirbt & trauernde Personen aus dem nahen Umfeld sprechen/schreiben nur noch mit diesem KI Avatar, anstatt sich mit anderen echten Personen zu unterhalten. So über die Trauer wirklich sprechen zu können und diese zu verarbeiten. 

Die Person bleibt dann in einer Art ""Bubble"" aus Verdrängung, da die ""Person"" ja immer noch da ist. Wenn auch als KI Avatar.

Dazu muss ich sagen, dass ich gegenüber der KI Entwicklung eher negativ eingestellt bin. Ich fände es erschreckend, wenn die Menschen sich immer weiter entzweihen und nur noch mit KI Avataren, Chatbots etc. sprechen. 

Das wären erstmal meine Gedanken dazu :)"
"2025/09/08 4:05:12 PM OESZ","18-24","Männlich / Male","Abitur / College entrance qualification","Ja/Yes","Nein/No","Ja/Yes","Ja /Yes","Eher nein / Rather no","Stimme / Voice;Gesicht / Appearance;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs","2","1","Verwirrung / Confusion;Unbehagen / Discomfort","5","3","Avatar darf nicht erstellt werden / Should not be created","Unsicher / Unsure","Unsicher / Unsure","Zustimmung der Person / Consent of the individual;Zustimmung der Familie / Consent of family;Datenschutz / Data protection;Keine kommerzielle Nutzung / No commercial use","Es wird ein vorübergehender Trend / It will be a temporary trend","Ja / Yes","Nein / No",""
"2025/09/08 9:07:20 PM OESZ","25-34","Männlich / Male","Mittlere Reife / High school","Nein/No","Nein/No","Ja/Yes","Ja /Yes","Eher ja / Rather yes","Stimme / Voice;Gesicht / Appearance;Schreibstil / Writing style;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs","4","2","kommt drauf an würde ich sagen. Bei engen Familienangehörigen vermutlich trauer.","5","5","Avatar darf nicht erstellt werden / Should not be created","Unsicher / Unsure","Negativ / Negative","Zustimmung der Person / Consent of the individual;Datenschutz / Data protection;Keine kommerzielle Nutzung / No commercial use","Es wird verboten werden / It will be banned","Vielleicht / Maybe","Vielleicht / Maybe","Kann mein KI Abbild bitte einen längeren schlong und schlanker sein, als ich es bin. Ich denke dann könnte meine Frau im Falle eines Falles schneller über meinen Tod hinwegkommen."
"2025/09/08 9:29:39 PM OESZ","25-34","Männlich / Male","Abitur / College entrance qualification","Ja/Yes","Ja/Yes","Ja/Yes","Ja /Yes","Unsicher / Unsure","Schreibstil / Writing style;Persönlichkeit / Personality;Werte & Überzeugungen / Values & beliefs","4","4","Freude / Joy","5","4","Avatar darf nicht erstellt werden / Should not be created","Unsicher / Unsure","Neutral","Zustimmung der Person / Consent of the individual;Datenschutz / Data protection","Es wird ein vorübergehender Trend / It will be a temporary trend","Ja / Yes","Vielleicht / Maybe",""
"2025/09/09 2:12:27 PM OESZ","25-34","Weiblich / Female","Bachelor","Ja/Yes","Ja/Yes","Ja/Yes","Ja /Yes","Eher nein / Rather no","Stimme / Voice;Gesicht / Appearance;Schreibstil / Writing style;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs","4","3","Nostalgie / Nostalgia;Unbehagen / Discomfort;Freude / Joy","5","5","Avatar darf genutzt werden, wenn vorher Zustimmung der Person vorlag / Can be used if prior consent exists","Trägt bei / Contributes","Positiv / Positive","Zustimmung der Person / Consent of the individual;Zustimmung der Familie / Consent of family;Datenschutz / Data protection;Keine kommerzielle Nutzung / No commercial use","Es wird ein vorübergehender Trend / It will be a temporary trend","Nein / No","Nein / No",""